Stimulus_Number,Filename
7321,1090_MTI_SAD_XX
2453,1031_IEO_FEA_MD
2022,1025_TSI_SAD_XX
3168,1039_TSI_NEU_XX
2904,1036_ITH_NEU_XX
2141,1027_IOM_DIS_XX
3275,1041_IEO_DIS_LO
6460,1080_IEO_HAP_LO
5131,1063_ITS_HAP_XX
6764,1083_DFA_HAP_XX
5054,1062_TSI_NEU_XX
5910,1073_IOM_SAD_XX
935,1012_MTI_DIS_XX
5646,1070_IEO_SAD_HI
4883,1060_DFA_DIS_XX
6342,1078_IWL_HAP_XX
3165,1039_ITS_ANG_XX
5933,1073_IWL_HAP_XX
2745,1034_ITH_DIS_XX
4797,1059_DFA_HAP_XX
2224,1028_IWW_NEU_XX
4948,1061_IWL_NEU_XX
3954,1049_TAI_SAD_XX
512,1007_TIE_FEA_XX
3311,1041_IWL_ANG_XX
4802,1059_ITS_NEU_XX
2961,1037_IOM_DIS_XX
1023,1013_IWL_DIS_XX
1395,1018_IEO_DIS_LO
3638,1045_IWL_SAD_XX
3860,1048_IOM_SAD_XX
1516,1019_DFA_NEU_XX
4337,1054_IEO_ANG_HI
3683,1046_IEO_FEA_MD
6478,1080_TIE_ANG_XX
506,1007_IEO_DIS_MD
169,1003_IEO_SAD_MD
7246,1089_IWL_ANG_XX
2721,1034_IWW_DIS_XX
3449,1043_IOM_HAP_XX
6896,1085_IOM_DIS_XX
4565,1056_TSI_ANG_XX
792,1010_ITS_SAD_XX
6583,1081_MTI_SAD_XX
2165,1027_IWL_DIS_XX
1927,1024_DFA_HAP_XX
2212,1028_TIE_NEU_XX
3211,1040_IWW_ANG_XX
6387,1079_IEO_FEA_LO
4785,1059_IWL_HAP_XX
959,1012_ITS_DIS_XX
7183,1088_ITS_FEA_XX
2355,1029_WSI_HAP_XX
203,1003_TAI_DIS_XX
6921,1085_ITH_NEU_XX
5497,1068_TIE_DIS_XX
3421,1042_WSI_HAP_XX
2439,1030_WSI_ANG_XX
12,1001_IEO_FEA_MD
9,1001_IEO_ANG_MD
7259,1089_DFA_FEA_XX
4344,1054_TIE_NEU_XX
5368,1066_ITH_FEA_XX
4149,1051_ITS_ANG_XX
6849,1084_DFA_FEA_XX
1827,1023_MTI_HAP_XX
3905,1048_ITS_DIS_XX
3891,1048_ITH_ANG_XX
